id,name,artists,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year
756b3t2S8tk0POoa49Wsfo,Let the Good Times Roll,['Layo & Bushwacka!'],FALSE,0.478,0.892,2,-7.835,0,0.0329,0.0582,0.879,0.58,0.0543,129.988,214360,4,2002
1r6tGt1nh2xPgeukItAElz,All Night Long,['Layo & Bushwacka!'],FALSE,0.753,0.723,1,-9.045,1,0.0862,0.000621,0.166,0.204,0.49,135.961,341973,4,2002
1c9UdcbIPrK6dj5TPqOhQ9,Strike,['Layo & Bushwacka!'],FALSE,0,0.833,5,-12.76,0,0,0.571,0.0314,0,0,0,7493,0,2002
3jlRRMWlz3TgZpUkGdGmMN,Sleepy Language,['Layo & Bushwacka!'],FALSE,0.802,0.613,2,-8.624,1,0.167,0.0078,0.825,0.0888,0.336,91.009,340200,4,2002
0YOQJkDxVZG4ToMxnWPoZX,Blind Tiger,['Layo & Bushwacka!'],FALSE,0.641,0.571,5,-8.697,1,0.0269,0.078,0.741,0.0872,0.339,86.989,378000,4,2002
0GVkaXHHktks6AvZoywny3,Automate,['Layo & Bushwacka!'],FALSE,0.225,0.503,0,-13.086,0,0.0728,0.859,0.989,0.385,0.0358,125.632,51733,4,2002
3SdXO2B5AVG6BDHiS7dOH6,Love Story,['Layo & Bushwacka!'],FALSE,0.649,0.684,7,-10.396,0,0.0331,0.342,0.411,0.448,0.0794,132.014,312933,4,2002
69X1YFzLkaJOKa2ZQWOQCg,2mrw,['Layo & Bushwacka!'],FALSE,0.66,0.575,4,-10.913,0,0.0357,0.0313,0.21,0.121,0.309,126.961,252240,4,2002
7eN8s82qtZMatDsvHqrJzH,Love Story (vs Finally) - Bushwacka!'s Final Bootleg,['Layo & Bushwacka!'],FALSE,0.74,0.501,9,-10.76,0,0.0815,0.0126,0.0543,0.339,0.258,131.943,474373,4,2002
1A4TrY8Rk84Rp4LYXbkJoq,It's Up to You (Shining Through) - Radio Mix,['Layo & Bushwacka!'],FALSE,0.406,0.875,0,-8.111,1,0.0665,0.158,0.187,0.344,0.663,129.214,196067,4,2002
2NCMMYGXFn9VBF9VroB4dB,Let the Good Times Roll - Reworked,['Layo & Bushwacka!'],FALSE,0.552,0.878,2,-7.702,1,0.0318,3.25E-05,0.617,0.383,0.157,129.98,218373,4,2002
1Z9eewl4b2PZ4u7FFtbIyA,Where Did We Go Wrong?,['Layo & Bushwacka!'],FALSE,0.724,0.633,4,-7.773,0,0.031,0.00329,0.59,0.118,0.552,124.788,439693,4,2002
2xO6lMxa1cm91GEbTswfm2,Hard Core,['Dee Snider'],FALSE,0.338,0.914,5,-7.704,0,0.0598,0.000152,0.0295,0.134,0.593,150.247,246813,4,2000
0gaxaJnjBiuULvRJYUWDXp,Call My Name,['Dee Snider'],FALSE,0.622,0.656,8,-8.075,1,0.0301,0.0018,0.0063,0.304,0.746,118.071,179320,4,2000
7nNJjmrzfCFXbO3DJtygpA,Our Voice Will Be Heard,['Dee Snider'],FALSE,0.451,0.723,1,-8.248,0,0.0313,0.000172,2.15E-05,0.354,0.813,148.707,179493,4,2000
76VGmH2SgTjwwLW5nYDdx3,Isn't It Time,['Dee Snider'],FALSE,0.345,0.849,8,-7.573,0,0.0412,3.33E-05,0.000358,0.0589,0.511,156.47,273440,4,2000
2j7bYZRy4Fc0eIPRyp3kCK,Cry You A Rainbow,['Dee Snider'],FALSE,0.285,0.584,1,-7.437,1,0.0306,0.000244,1.05E-05,0.0958,0.459,175.905,302360,4,2000
1VHwtL6gl9sa11ah70HB5X,The Wanderer,['Dee Snider'],FALSE,0.381,0.857,7,-8.349,1,0.0663,0.000404,0.0732,0.346,0.53,132.69,296360,4,2000
0G5O6sPrHxno30IXruxSIH,Uh Huh Huh,['Dee Snider'],FALSE,0.535,0.832,5,-9.411,0,0.0359,0.0011,0.00212,0.388,0.684,89.505,233253,4,2000
0eMmJYs809KbKGxcyFMKNT,Desperado,['Dee Snider'],FALSE,0.381,0.83,11,-7.204,1,0.0346,4.17E-05,5.49E-06,0.133,0.565,174.945,235960,4,2000
3WwcRFJeQGGmnsJ7IEBu9Y,Sometimes You Win,['Dee Snider'],FALSE,0.555,0.83,1,-7.403,1,0.0375,0.000391,5.67E-06,0.308,0.809,118.472,237853,4,2000
4tHVOo2UUyCumx4TvRUKud,Ride Through The Storm,['Dee Snider'],FALSE,0.535,0.789,8,-8.38,1,0.0586,0.000732,6.20E-05,0.331,0.185,119.724,263480,4,2000
3dterpf6xcTSVZvMCLCNXE,Photographed Yawning,['Gastr Del Sol'],FALSE,0.529,0.0189,8,-21.823,1,0.11,0.847,0.0381,0.11,0.196,140.743,50027,3,1994
2RhuzLKBqN9Vdw76Aczqoz,Eight Corners,['Gastr Del Sol'],FALSE,0.482,0.12,9,-18.413,1,0.0361,0.961,0.222,0.109,0.297,105.221,533000,4,1994
4W8ItGU1eTMjcyYsVaiutl,Dictionary of Handwriting,['Gastr Del Sol'],FALSE,0.284,0.581,7,-11.904,1,0.0443,0.0187,0.878,0.0988,0.158,76.419,362000,4,1994
7ICNNrrELkb8fLWibtzTgE,Why Sleep,['Gastr Del Sol'],FALSE,0.52,0.0104,6,-21.435,1,0.0559,0.969,0.0211,0.0901,0.0383,111.216,122373,3,1994
1hQk14pbeCd9qK1UZcXiA1,Mirror Repair,['Gastr Del Sol'],FALSE,0.306,0.0486,1,-20.026,0,0.0501,0.77,0.0359,0.107,0.128,66.19,194493,3,1994
0a7aYUVphUll4kCx91YIM6,Ring of Fire (feat. Tom Rozum & Nina Gerber),"['Laurie Lewis', 'Tom Rozum', 'Nina Gerber']",FALSE,0.515,0.42,5,-7.318,1,0.0329,0.786,0.000444,0.705,0.164,76.145,228747,4,2014
